"Iteration"	"Chain"	"Parameter"	"value"
"1"	1	1	"deviance"	3304.68796844298
"2"	2	1	"deviance"	3253.08361944515
"3"	3	1	"deviance"	3268.85089864163
"4"	4	1	"deviance"	3315.71913811534
"5"	5	1	"deviance"	3243.92819525453
"6"	6	1	"deviance"	3297.37215268789
"7"	7	1	"deviance"	3252.04902808038
"8"	8	1	"deviance"	3282.73422696889
"9"	9	1	"deviance"	3276.67726456368
"10"	10	1	"deviance"	3300.62315786919
"11"	1	1	"etaP1[1]"	-2.61079134180771
"12"	2	1	"etaP1[1]"	-2.4989515760547
"13"	3	1	"etaP1[1]"	-2.61190731743711
"14"	4	1	"etaP1[1]"	-2.84222667147709
"15"	5	1	"etaP1[1]"	-2.39930046444039
"16"	6	1	"etaP1[1]"	-2.8020313091378
"17"	7	1	"etaP1[1]"	-2.61025064231166
"18"	8	1	"etaP1[1]"	-2.76252836961929
"19"	9	1	"etaP1[1]"	-2.65212037835537
"20"	10	1	"etaP1[1]"	-2.54980739462475
"21"	1	1	"etaP1[2]"	-2.58554683001686
"22"	2	1	"etaP1[2]"	-2.66985284993894
"23"	3	1	"etaP1[2]"	-2.70677104036498
"24"	4	1	"etaP1[2]"	-2.72057981384691
"25"	5	1	"etaP1[2]"	-2.40891361306641
"26"	6	1	"etaP1[2]"	-2.80875920526434
"27"	7	1	"etaP1[2]"	-2.54989936545442
"28"	8	1	"etaP1[2]"	-2.56582042206685
"29"	9	1	"etaP1[2]"	-2.68897041018578
"30"	10	1	"etaP1[2]"	-2.73226874470387
"31"	1	1	"etaP1[3]"	-2.62813489232494
"32"	2	1	"etaP1[3]"	-2.41438980332535
"33"	3	1	"etaP1[3]"	-2.61809323555916
"34"	4	1	"etaP1[3]"	-2.62713037373781
"35"	5	1	"etaP1[3]"	-2.89737644227893
"36"	6	1	"etaP1[3]"	-2.7403045462047
"37"	7	1	"etaP1[3]"	-2.64473431632702
"38"	8	1	"etaP1[3]"	-2.4678963476133
"39"	9	1	"etaP1[3]"	-2.69470899684319
"40"	10	1	"etaP1[3]"	-2.72383495598003
"41"	1	1	"etaP1[4]"	-2.68465894583189
"42"	2	1	"etaP1[4]"	-2.61201822607007
"43"	3	1	"etaP1[4]"	-2.58213718953843
"44"	4	1	"etaP1[4]"	-2.44189222767006
"45"	5	1	"etaP1[4]"	-2.31054101737337
"46"	6	1	"etaP1[4]"	-2.64121218359815
"47"	7	1	"etaP1[4]"	-2.77686027633784
"48"	8	1	"etaP1[4]"	-2.71748568086523
"49"	9	1	"etaP1[4]"	-2.30899921811482
"50"	10	1	"etaP1[4]"	-2.67626181651498
"51"	1	1	"etaP1[5]"	-2.67409214714652
"52"	2	1	"etaP1[5]"	-2.31466253419426
"53"	3	1	"etaP1[5]"	-2.49891859048936
"54"	4	1	"etaP1[5]"	-2.65786323333238
"55"	5	1	"etaP1[5]"	-2.60874643392871
"56"	6	1	"etaP1[5]"	-2.50757163128592
"57"	7	1	"etaP1[5]"	-2.51776023885312
"58"	8	1	"etaP1[5]"	-2.52781120368741
"59"	9	1	"etaP1[5]"	-2.57760640377331
"60"	10	1	"etaP1[5]"	-2.72579572942478
"61"	1	1	"etaP1[6]"	-2.70818313978751
"62"	2	1	"etaP1[6]"	-2.790554290453
"63"	3	1	"etaP1[6]"	-2.55477207375546
"64"	4	1	"etaP1[6]"	-2.92855559552802
"65"	5	1	"etaP1[6]"	-2.79614949804019
"66"	6	1	"etaP1[6]"	-2.5045112974873
"67"	7	1	"etaP1[6]"	-2.58504694462222
"68"	8	1	"etaP1[6]"	-2.64871618361397
"69"	9	1	"etaP1[6]"	-2.70956444495879
"70"	10	1	"etaP1[6]"	-2.90015979424955
"71"	1	1	"etaP1[7]"	-2.59524104787016
