"Iteration"	"Chain"	"Parameter"	"value"
"1"	1	2	"deviance"	3260.22346260942
"2"	2	2	"deviance"	3274.10815911647
"3"	3	2	"deviance"	3274.71102236586
"4"	4	2	"deviance"	3245.60112019741
"5"	5	2	"deviance"	3261.54117010618
"6"	6	2	"deviance"	3346.01837931538
"7"	7	2	"deviance"	3296.02116385306
"8"	8	2	"deviance"	3280.67019026084
"9"	9	2	"deviance"	3247.29679243403
"10"	10	2	"deviance"	3298.52771582605
"11"	1	2	"etaP1[1]"	-2.57778984332705
"12"	2	2	"etaP1[1]"	-2.63828020328834
"13"	3	2	"etaP1[1]"	-2.58176829905666
"14"	4	2	"etaP1[1]"	-2.64738884916029
"15"	5	2	"etaP1[1]"	-2.425895382433
"16"	6	2	"etaP1[1]"	-2.77550993371938
"17"	7	2	"etaP1[1]"	-2.33493554583368
"18"	8	2	"etaP1[1]"	-2.68208579945218
"19"	9	2	"etaP1[1]"	-2.50581689719155
"20"	10	2	"etaP1[1]"	-2.21983150730007
"21"	1	2	"etaP1[2]"	-2.52854172044767
"22"	2	2	"etaP1[2]"	-2.58454381054797
"23"	3	2	"etaP1[2]"	-2.5602350585956
"24"	4	2	"etaP1[2]"	-2.71557813581367
"25"	5	2	"etaP1[2]"	-2.51102819794427
"26"	6	2	"etaP1[2]"	-2.79250143922653
"27"	7	2	"etaP1[2]"	-2.82098990079106
"28"	8	2	"etaP1[2]"	-2.7949723477619
"29"	9	2	"etaP1[2]"	-2.79911753606216
"30"	10	2	"etaP1[2]"	-2.68506642845689
"31"	1	2	"etaP1[3]"	-2.72206074995203
"32"	2	2	"etaP1[3]"	-2.61857169478409
"33"	3	2	"etaP1[3]"	-2.63094942778324
"34"	4	2	"etaP1[3]"	-2.75075651022568
"35"	5	2	"etaP1[3]"	-2.38205751414042
"36"	6	2	"etaP1[3]"	-2.54009314780359
"37"	7	2	"etaP1[3]"	-2.65150093175496
"38"	8	2	"etaP1[3]"	-2.63822659042496
"39"	9	2	"etaP1[3]"	-2.61279078577567
"40"	10	2	"etaP1[3]"	-2.52543133499747
"41"	1	2	"etaP1[4]"	-2.60811070896757
"42"	2	2	"etaP1[4]"	-2.48299084598213
"43"	3	2	"etaP1[4]"	-2.69659665908126
"44"	4	2	"etaP1[4]"	-2.63461075300291
"45"	5	2	"etaP1[4]"	-2.69369194745438
"46"	6	2	"etaP1[4]"	-2.53736865101392
"47"	7	2	"etaP1[4]"	-2.47782068436336
"48"	8	2	"etaP1[4]"	-2.50265803946588
"49"	9	2	"etaP1[4]"	-2.55746058703627
"50"	10	2	"etaP1[4]"	-2.42147504935176
"51"	1	2	"etaP1[5]"	-2.77614221660915
"52"	2	2	"etaP1[5]"	-2.56287175833651
"53"	3	2	"etaP1[5]"	-2.61551215195909
"54"	4	2	"etaP1[5]"	-2.72448212377558
"55"	5	2	"etaP1[5]"	-2.65590776446318
"56"	6	2	"etaP1[5]"	-2.64617669304532
"57"	7	2	"etaP1[5]"	-2.62243332439203
"58"	8	2	"etaP1[5]"	-2.62939643459225
"59"	9	2	"etaP1[5]"	-2.61587541604485
"60"	10	2	"etaP1[5]"	-2.21162605863195
"61"	1	2	"etaP1[6]"	-2.4229575532266
"62"	2	2	"etaP1[6]"	-2.5897406950825
"63"	3	2	"etaP1[6]"	-2.52200868541341
"64"	4	2	"etaP1[6]"	-2.69984290124168
"65"	5	2	"etaP1[6]"	-2.54706947703551
"66"	6	2	"etaP1[6]"	-2.88360049411125
"67"	7	2	"etaP1[6]"	-2.55228399575247
"68"	8	2	"etaP1[6]"	-2.73128792365067
"69"	9	2	"etaP1[6]"	-2.75670144549666
"70"	10	2	"etaP1[6]"	-3.23132746089343
"71"	1	2	"etaP1[7]"	-2.55864166783177
"72"	2	2	"etaP1[7]"	-2.48724175670587
