"Iteration"	"Chain"	"Parameter"	"value"
"120"	10	3	"etaP1[11]"	-2.57985873522502
"121"	1	3	"etaP1[12]"	-2.70228423111519
"122"	2	3	"etaP1[12]"	-2.71759613199012
"123"	3	3	"etaP1[12]"	-2.79750531766402
"124"	4	3	"etaP1[12]"	-2.72692150865407
"125"	5	3	"etaP1[12]"	-2.70285168992624
"126"	6	3	"etaP1[12]"	-2.90857555922596
"127"	7	3	"etaP1[12]"	-3.16329065658701
"128"	8	3	"etaP1[12]"	-2.77523918783268
"129"	9	3	"etaP1[12]"	-2.84091486627499
"130"	10	3	"etaP1[12]"	-2.58176211377858
"131"	1	3	"etaP1[13]"	-3.05825420612066
"132"	2	3	"etaP1[13]"	-2.70872161723479
"133"	3	3	"etaP1[13]"	-2.85437478039556
"134"	4	3	"etaP1[13]"	-2.83623459211409
"135"	5	3	"etaP1[13]"	-2.71393222155436
"136"	6	3	"etaP1[13]"	-2.72040745215032
"137"	7	3	"etaP1[13]"	-2.890714649431
"138"	8	3	"etaP1[13]"	-2.793012419308
"139"	9	3	"etaP1[13]"	-2.78328620203192
"140"	10	3	"etaP1[13]"	-2.59903801225266
"141"	1	3	"etaP1[14]"	-2.6661132325422
"142"	2	3	"etaP1[14]"	-2.80839896881868
"143"	3	3	"etaP1[14]"	-2.74337602666918
"144"	4	3	"etaP1[14]"	-2.73966799373902
"145"	5	3	"etaP1[14]"	-2.65267665219896
"146"	6	3	"etaP1[14]"	-2.50947142370613
"147"	7	3	"etaP1[14]"	-2.84149402137232
"148"	8	3	"etaP1[14]"	-2.54955467030257
"149"	9	3	"etaP1[14]"	-2.70838644747211
"150"	10	3	"etaP1[14]"	-2.50783674760161
"151"	1	3	"etaP1[15]"	-2.75956307745146
"152"	2	3	"etaP1[15]"	-2.68884055080576
"153"	3	3	"etaP1[15]"	-2.86527615408411
"154"	4	3	"etaP1[15]"	-2.96660509196475
"155"	5	3	"etaP1[15]"	-2.65450265383024
"156"	6	3	"etaP1[15]"	-2.70598207117
"157"	7	3	"etaP1[15]"	-2.77781294544876
"158"	8	3	"etaP1[15]"	-2.77224461496447
"159"	9	3	"etaP1[15]"	-2.79864271858894
"160"	10	3	"etaP1[15]"	-2.44358308755619
"161"	1	3	"etaP1[16]"	-2.68742841788607
"162"	2	3	"etaP1[16]"	-2.67464956124095
"163"	3	3	"etaP1[16]"	-2.64238842231851
"164"	4	3	"etaP1[16]"	-2.77380028842167
"165"	5	3	"etaP1[16]"	-2.56670391938552
"166"	6	3	"etaP1[16]"	-2.49976644283691
"167"	7	3	"etaP1[16]"	-2.52870925503353
"168"	8	3	"etaP1[16]"	-2.49494421200425
"169"	9	3	"etaP1[16]"	-2.74200025504829
"170"	10	3	"etaP1[16]"	-2.51101204819084
"171"	1	3	"etaP1[17]"	-2.574525205555
"172"	2	3	"etaP1[17]"	-2.68326794394293
"173"	3	3	"etaP1[17]"	-2.72765007350756
"174"	4	3	"etaP1[17]"	-2.66146157245649
"175"	5	3	"etaP1[17]"	-2.63631737751229
"176"	6	3	"etaP1[17]"	-2.40961176930871
"177"	7	3	"etaP1[17]"	-2.54532427530962
"178"	8	3	"etaP1[17]"	-2.49274377912421
"179"	9	3	"etaP1[17]"	-2.68598589702812
"180"	10	3	"etaP1[17]"	-2.57565211054697
"181"	1	3	"etaP1[18]"	-2.64511539019256
"182"	2	3	"etaP1[18]"	-2.60557554941556
"183"	3	3	"etaP1[18]"	-2.71282770720206
"184"	4	3	"etaP1[18]"	-2.57112945227252
"185"	5	3	"etaP1[18]"	-2.57061215786448
"186"	6	3	"etaP1[18]"	-2.59985121387826
"187"	7	3	"etaP1[18]"	-2.44334867406107
"188"	8	3	"etaP1[18]"	-2.72576416804329
"189"	9	3	"etaP1[18]"	-2.69827192734433
"190"	10	3	"etaP1[18]"	-2.46345597785912
"191"	1	3	"etaP1[19]"	-2.6210615224854
"192"	2	3	"etaP1[19]"	-2.71361450845827
"193"	3	3	"etaP1[19]"	-2.84180539282678
"194"	4	3	"etaP1[19]"	-2.512227789061
"195"	5	3	"etaP1[19]"	-2.6853803601729
"196"	6	3	"etaP1[19]"	-2.65514119387704
"197"	7	3	"etaP1[19]"	-2.63257753648635
"198"	8	3	"etaP1[19]"	-2.63354655384644
"199"	9	3	"etaP1[19]"	-2.67925477593622
"200"	10	3	"etaP1[19]"	-2.49637926711617
"201"	1	3	"etaP1[20]"	-2.37206668911256
"202"	2	3	"etaP1[20]"	-2.75632423250489
"203"	3	3	"etaP1[20]"	-2.58845330703817
"204"	4	3	"etaP1[20]"	-2.4443576591576
"205"	5	3	"etaP1[20]"	-2.66144319409904
"206"	6	3	"etaP1[20]"	-2.57618261518324
"207"	7	3	"etaP1[20]"	-2.39045903584499
"208"	8	3	"etaP1[20]"	-2.4961764797888
"209"	9	3	"etaP1[20]"	-2.55648194882989
"210"	10	3	"etaP1[20]"	-2.45723023793304
"211"	1	3	"etaP1[21]"	-2.22841255451447
"212"	2	3	"etaP1[21]"	-2.54951403477624
"213"	3	3	"etaP1[21]"	-2.4901370809527
"214"	4	3	"etaP1[21]"	-2.55051554682764
"215"	5	3	"etaP1[21]"	-2.55604500029001
"216"	6	3	"etaP1[21]"	-2.48358807003092
"217"	7	3	"etaP1[21]"	-2.34890942384276
"218"	8	3	"etaP1[21]"	-2.59488595173244
"219"	9	3	"etaP1[21]"	-2.37899562999951
"220"	10	3	"etaP1[21]"	-2.45607402431329
"221"	1	3	"etaP1[22]"	-2.38022252375253
"222"	2	3	"etaP1[22]"	-2.51810998977438
"223"	3	3	"etaP1[22]"	-2.55983851109547
"224"	4	3	"etaP1[22]"	-2.26036637062358
"225"	5	3	"etaP1[22]"	-2.55871779702547
"226"	6	3	"etaP1[22]"	-2.25154490621057
"227"	7	3	"etaP1[22]"	-2.40045184202888
"228"	8	3	"etaP1[22]"	-2.30695516061289
"229"	9	3	"etaP1[22]"	-2.38681969319238
"230"	10	3	"etaP1[22]"	-2.51391210838028
"231"	1	3	"etaP1[23]"	-2.37727069553596
"232"	2	3	"etaP1[23]"	-2.57671279356116
"233"	3	3	"etaP1[23]"	-2.65953437446473
"234"	4	3	"etaP1[23]"	-2.53593895606917
"235"	5	3	"etaP1[23]"	-2.56546057016759
"236"	6	3	"etaP1[23]"	-2.50160693085277
"237"	7	3	"etaP1[23]"	-2.30892381189742
"238"	8	3	"etaP1[23]"	-2.65264647099687
"239"	9	3	"etaP1[23]"	-2.54328873497918
"240"	10	3	"etaP1[23]"	-2.45128112584682
"241"	1	3	"etaP1[24]"	-2.72184604999676
"242"	2	3	"etaP1[24]"	-2.70816411094774
"243"	3	3	"etaP1[24]"	-2.48414109072842
"244"	4	3	"etaP1[24]"	-2.7175758169414
"245"	5	3	"etaP1[24]"	-2.58354965506874
"246"	6	3	"etaP1[24]"	-2.55561168701271
"247"	7	3	"etaP1[24]"	-2.53490873650568
"248"	8	3	"etaP1[24]"	-2.35699952010902
"249"	9	3	"etaP1[24]"	-2.59151588496698
"250"	10	3	"etaP1[24]"	-2.50910276733552
"251"	1	3	"etaU1[1]"	3.95639844157408
"252"	2	3	"etaU1[1]"	4.71552740226745
"253"	3	3	"etaU1[1]"	4.77970843383061
"254"	4	3	"etaU1[1]"	5.08747032694528
"255"	5	3	"etaU1[1]"	4.21622810452112
"256"	6	3	"etaU1[1]"	3.33354115212734
"257"	7	3	"etaU1[1]"	4.69118938829361
"258"	8	3	"etaU1[1]"	4.53975693753503
"259"	9	3	"etaU1[1]"	4.60927378320749
"260"	10	3	"etaU1[1]"	4.28121380393752
"261"	1	3	"etaU1[2]"	6.9052444072307
"262"	2	3	"etaU1[2]"	6.52285331458145
"263"	3	3	"etaU1[2]"	6.82412822759437
"264"	4	3	"etaU1[2]"	5.8643544162547
"265"	5	3	"etaU1[2]"	6.77943149478825
"266"	6	3	"etaU1[2]"	6.25059312728511
"267"	7	3	"etaU1[2]"	6.55580937785135
"268"	8	3	"etaU1[2]"	6.14008024689982
"269"	9	3	"etaU1[2]"	5.44904863605892
"270"	10	3	"etaU1[2]"	6.53592257714114
"271"	1	3	"etaU1[3]"	6.46387215453123
"272"	2	3	"etaU1[3]"	6.52207354753175
"273"	3	3	"etaU1[3]"	6.88518948797873
"274"	4	3	"etaU1[3]"	6.82664402825121
"275"	5	3	"etaU1[3]"	6.30917346253319
"276"	6	3	"etaU1[3]"	6.32818728936278
"277"	7	3	"etaU1[3]"	6.51943040743525
"278"	8	3	"etaU1[3]"	7.01157083639077
"279"	9	3	"etaU1[3]"	6.87749229986802
"280"	10	3	"etaU1[3]"	6.51108756462309
"281"	1	3	"etaU1[4]"	6.66478310803891
"282"	2	3	"etaU1[4]"	6.77334382109382
"283"	3	3	"etaU1[4]"	6.00734890064148
"284"	4	3	"etaU1[4]"	6.4586586149493
"285"	5	3	"etaU1[4]"	6.80378996237816
"286"	6	3	"etaU1[4]"	6.58058224057385
"287"	7	3	"etaU1[4]"	6.44056300032964
"288"	8	3	"etaU1[4]"	6.49164098578228
"289"	9	3	"etaU1[4]"	6.75660037605272
"290"	10	3	"etaU1[4]"	6.85485035444177
"291"	1	3	"etaU1[5]"	6.20370000161554
"292"	2	3	"etaU1[5]"	6.23259820239971
"293"	3	3	"etaU1[5]"	6.25974205458255
"294"	4	3	"etaU1[5]"	7.01837308175925
"295"	5	3	"etaU1[5]"	7.15389575933164
"296"	6	3	"etaU1[5]"	6.09441054365665
"297"	7	3	"etaU1[5]"	6.9323507417069
"298"	8	3	"etaU1[5]"	6.33835012714912
"299"	9	3	"etaU1[5]"	6.15642891125739
"300"	10	3	"etaU1[5]"	6.47094790853556
"301"	1	3	"etaU1[6]"	5.70521782597638
"302"	2	3	"etaU1[6]"	5.03590571923852
"303"	3	3	"etaU1[6]"	5.87827561270073
"304"	4	3	"etaU1[6]"	5.42308184952185
"305"	5	3	"etaU1[6]"	5.68962710566213
"306"	6	3	"etaU1[6]"	5.90634969998887
"307"	7	3	"etaU1[6]"	6.22485626528547
"308"	8	3	"etaU1[6]"	6.08180899294265
"309"	9	3	"etaU1[6]"	5.95749868305041
"310"	10	3	"etaU1[6]"	6.09465963239764
"311"	1	3	"etaU1[7]"	5.44402220525678
"312"	2	3	"etaU1[7]"	5.25065454175341
"313"	3	3	"etaU1[7]"	5.18455715191956
"314"	4	3	"etaU1[7]"	5.04531250314997
"315"	5	3	"etaU1[7]"	5.40425214842049
"316"	6	3	"etaU1[7]"	4.19513334806904
"317"	7	3	"etaU1[7]"	4.06251303601758
"318"	8	3	"etaU1[7]"	4.37550459982462
"319"	9	3	"etaU1[7]"	4.25308467955236
"320"	10	3	"etaU1[7]"	4.74890004541688
"321"	1	3	"etaU1[8]"	4.9006970845685
"322"	2	3	"etaU1[8]"	4.4710822033996
"323"	3	3	"etaU1[8]"	4.15440716584713
"324"	4	3	"etaU1[8]"	5.44221403144324
"325"	5	3	"etaU1[8]"	4.62196579916063
"326"	6	3	"etaU1[8]"	5.45019935309036
"327"	7	3	"etaU1[8]"	4.59246644238583
"328"	8	3	"etaU1[8]"	4.66773165197413
"329"	9	3	"etaU1[8]"	4.8164280733109
"330"	10	3	"etaU1[8]"	4.73735875101719
"331"	1	3	"etaU1[9]"	4.66934272927668
"332"	2	3	"etaU1[9]"	5.34994065856944
"333"	3	3	"etaU1[9]"	4.64993519444481
"334"	4	3	"etaU1[9]"	5.71219802762456
"335"	5	3	"etaU1[9]"	5.04087124410295
"336"	6	3	"etaU1[9]"	4.87511017532034
"337"	7	3	"etaU1[9]"	5.03029954631176
"338"	8	3	"etaU1[9]"	4.88370584065131
"339"	9	3	"etaU1[9]"	5.37291159175911
"340"	10	3	"etaU1[9]"	5.13014338472558
"341"	1	3	"etaU1[10]"	3.68892726327983
"342"	2	3	"etaU1[10]"	3.86075811592991
"343"	3	3	"etaU1[10]"	4.28365805827219
"344"	4	3	"etaU1[10]"	3.42873017793808
"345"	5	3	"etaU1[10]"	4.45496969393732
"346"	6	3	"etaU1[10]"	4.61094493210994
"347"	7	3	"etaU1[10]"	3.41146103584485
"348"	8	3	"etaU1[10]"	3.68305024792357
"349"	9	3	"etaU1[10]"	4.66860859206646
"350"	10	3	"etaU1[10]"	4.61641143564079
"351"	1	3	"etaU1[11]"	2.9133642754597
"352"	2	3	"etaU1[11]"	3.51972572779271
"353"	3	3	"etaU1[11]"	3.0531356977371
"354"	4	3	"etaU1[11]"	3.54789738348641
"355"	5	3	"etaU1[11]"	3.67561355843566
"356"	6	3	"etaU1[11]"	3.89284755966336
"357"	7	3	"etaU1[11]"	3.0645261637654
"358"	8	3	"etaU1[11]"	3.43861383365778
"359"	9	3	"etaU1[11]"	2.58044144782112
"360"	10	3	"etaU1[11]"	3.34904818513531
"361"	1	3	"etaU1[12]"	10.1961526488044
"362"	2	3	"etaU1[12]"	9.89488605920359
"363"	3	3	"etaU1[12]"	9.65510301085913
"364"	4	3	"etaU1[12]"	9.66331621690461
