2024-01-05 
 
 Number of chains = 3 
 Number of iterations per chain = 4000 
 Burn in = 2000 
 
 ********** The Gelman-Rubin Statistic: ********** 
 
    ***  Flagged parameters with G-R point est. >1.1  ***   
 
 U[1,1], U[2,1], U[3,1], U[4,1], U[5,1], U[6,1], U[7,1], U[11,1], U[13,1], U[14,1], U[15,1], U[17,1], U[19,1], U[23,1], U[1,2], U[2,2], U[4,2], U[5,2], U[8,2], U[10,2], U[11,2], U[12,2], U[13,2], U[15,2], U[17,2], U[18,2], U[20,2], U[22,2], U[23,2], U[24,2], U[1,3], U[2,3], U[3,3], U[5,3], U[6,3], U[7,3], U[9,3], U[11,3], U[12,3], U[13,3], U[14,3], U[16,3], U[18,3], U[19,3], U[24,3], U[1,4], U[2,4], U[4,4], U[5,4], U[6,4], U[7,4], U[9,4], U[10,4], U[11,4], U[12,4], U[17,4], U[18,4], U[24,4], U[1,5], U[2,5], U[5,5], U[6,5], U[8,5], U[9,5], U[11,5], U[13,5], U[14,5], U[21,5], U[22,5], U[23,5], U[1,6], U[2,6], U[3,6], U[4,6], U[6,6], U[7,6], U[12,6], U[13,6], U[14,6], U[15,6], U[17,6], U[19,6], U[21,6], U[22,6], U[1,7], U[2,7], U[3,7], U[4,7], U[6,7], U[7,7], U[8,7], U[9,7], U[12,7], U[13,7], U[16,7], U[20,7], U[22,7], U[1,8], U[2,8], U[3,8], U[4,8], U[8,8], U[10,8], U[11,8], U[12,8], U[13,8], U[14,8], U[17,8], U[18,8], U[20,8], U[24,8], U[1,9], U[4,9], U[6,9], U[8,9], U[9,9], U[12,9], U[16,9], U[17,9], U[21,9], U[22,9], U[23,9], U[24,9], U[2,10], U[4,10], U[8,10], U[9,10], U[12,10], U[14,10], U[21,10], U[22,10], U[23,10], U[24,10], U[2,11], U[3,11], U[4,11], U[6,11], U[9,11], U[10,11], U[12,11], U[13,11], U[15,11], U[17,11], U[21,11], U[23,11], U[24,11], U[3,12], U[9,12], U[10,12], U[12,12], U[13,12], U[18,12], U[20,12], U[22,12], U[23,12], U[4,13], U[5,13], U[9,13], U[10,13], U[12,13], U[14,13], U[16,13], U[18,13], U[21,13], U[23,13], etaP1[1], etaP1[2], etaP1[3], etaP1[4], etaP1[8], etaP1[10], etaP1[12], etaP1[15], etaP1[17], etaP1[19], etaP1[21], etaP1[22], etaP1[24], etaU1[2], etaU1[4], etaU1[5], etaU1[6], etaU1[9], etaU1[14], etaU1[15], etaU1[19], etaU1[23], p[3,1], p[6,1], p[7,1], p[8,1], p[9,1], p[11,1], p[13,1], p[14,1], p[15,1], p[19,1], p[23,1], p[2,2], p[3,2], p[6,2], p[12,2], p[13,2], p[15,2], p[17,2], p[18,2], p[20,2], p[22,2], p[23,2], p[24,2], p[1,3], p[2,3], p[3,3], p[5,3], p[6,3], p[9,3], p[10,3], p[12,3], p[13,3], p[14,3], p[15,3], p[24,3], p[1,4], p[2,4], p[4,4], p[6,4], p[12,4], p[15,4], p[17,4], p[1,5], p[2,5], p[5,5], p[6,5], p[7,5], p[10,5], p[14,5], p[21,5], p[23,5], p[2,6], p[3,6], p[4,6], p[6,6], p[7,6], p[9,6], p[11,6], p[12,6], p[13,6], p[14,6], p[15,6], p[16,6], p[17,6], p[18,6], p[19,6], p[20,6], p[21,6], p[3,7], p[4,7], p[8,7], p[9,7], p[11,7], p[12,7], p[13,7], p[16,7], p[17,7], p[18,7], p[20,7], p[22,7], p[1,8], p[2,8], p[4,8], p[7,8], p[8,8], p[11,8], p[12,8], p[13,8], p[14,8], p[17,8], p[18,8], p[20,8], p[23,8], p[24,8], p[1,9], p[7,9], p[8,9], p[9,9], p[12,9], p[13,9], p[16,9], p[21,9], p[22,9], p[24,9], p[1,10], p[3,10], p[4,10], p[6,10], p[8,10], p[10,10], p[11,10], p[14,10], p[15,10], p[22,10], p[1,11], p[2,11], p[13,11], p[15,11], p[16,11], p[17,11], p[24,11], p[3,12], p[6,12], p[9,12], p[10,12], p[12,12], p[13,12], p[18,12], p[20,12], p[21,12], p[22,12], p[23,12], p[4,13], p[5,13], p[7,13], p[9,13], p[10,13], p[14,13], p[16,13], p[18,13], p[21,13], p[23,13], p[24,13], sigmaP, sigmaU 
 

Potential scale reduction factors:

          Point est. Upper C.I.
U[1,1]         1.282      3.586
U[2,1]         1.250      3.378
U[3,1]         1.129      1.728
U[4,1]         1.431      4.394
U[5,1]         1.350      2.468
U[6,1]         1.209      2.106
U[7,1]         1.279      2.487
U[8,1]         1.058      1.395
U[9,1]         1.088      1.558
U[10,1]        1.071      1.498
U[11,1]        1.309      4.382
U[12,1]        0.975      1.091
U[13,1]        1.118      1.538
U[14,1]        1.189      2.213
U[15,1]        1.711      3.236
U[16,1]        1.073      1.490
U[17,1]        1.193      2.050
U[18,1]        1.094      1.562
U[19,1]        1.542      2.780
U[20,1]        0.931      1.008
U[21,1]        1.059      1.371
U[22,1]        1.006      1.242
U[23,1]        1.125      1.857
U[24,1]        1.001      1.211
U[1,2]         1.513      2.515
U[2,2]         1.141      1.612
U[3,2]         0.971      1.082
U[4,2]         1.142      1.709
U[5,2]         1.122      1.614
U[6,2]         1.068      1.488
U[7,2]         0.963      1.108
U[8,2]         1.156      1.840
U[9,2]         0.971      0.991
U[10,2]        1.178      2.039
U[11,2]        1.622      3.671
U[12,2]        1.320      2.861
U[13,2]        1.183      1.748
U[14,2]        0.994      1.034
U[15,2]        1.325      2.954
U[16,2]        1.064      1.399
U[17,2]        1.181      2.240
U[18,2]        1.159      2.208
U[19,2]        0.938      1.040
U[20,2]        1.418      2.323
U[21,2]        1.023      1.259
U[22,2]        1.105      1.662
U[23,2]        1.751      3.001
U[24,2]        1.153      1.749
U[1,3]         1.158      2.031
U[2,3]         1.820      3.820
U[3,3]         1.499      2.483
U[4,3]         0.926      0.943
U[5,3]         1.724      3.578
U[6,3]         1.384      3.685
U[7,3]         1.161      2.073
U[8,3]         0.957      0.991
U[9,3]         1.780      3.322
U[10,3]        1.048      1.392
U[11,3]        1.112      1.643
U[12,3]        1.491      4.521
U[13,3]        1.338      2.080
U[14,3]        1.282      1.985
U[15,3]        1.085      1.592
U[16,3]        1.157      1.812
U[17,3]        0.924      0.930
U[18,3]        1.116      1.587
U[19,3]        1.161      1.801
U[20,3]        0.977      1.142
U[21,3]        1.006      1.206
U[22,3]        1.027      1.212
U[23,3]        0.950      1.054
U[24,3]        1.452      2.607
U[1,4]         1.149      1.774
U[2,4]         1.236      2.179
U[3,4]         1.031      1.311
U[4,4]         1.106      1.506
U[5,4]         1.190      1.885
U[6,4]         1.241      2.632
U[7,4]         1.265      2.326
U[8,4]         1.043      1.343
U[9,4]         1.190      1.778
U[10,4]        1.138      1.671
U[11,4]        1.174      1.868
U[12,4]        1.842      4.341
U[13,4]        1.051      1.355
U[14,4]        1.100      1.488
U[15,4]        1.060      1.372
U[16,4]        0.997      1.181
U[17,4]        1.135      1.562
U[18,4]        1.100      1.466
U[19,4]        0.907      0.930
U[20,4]        0.944      1.032
U[21,4]        0.994      1.141
U[22,4]        1.068      1.520
U[23,4]        0.940      1.037
U[24,4]        1.618      4.240
U[1,5]         2.672      5.629
U[2,5]         1.591      3.751
U[3,5]         1.003      1.109
U[4,5]         1.046      1.347
U[5,5]         1.351      2.611
U[6,5]         1.255      1.859
U[7,5]         0.983      1.053
U[8,5]         1.169      2.318
U[9,5]         1.135      1.805
U[10,5]        1.079      1.451
U[11,5]        1.171      2.073
U[12,5]        1.030      1.253
U[13,5]        1.109      1.558
U[14,5]        1.303      2.124
U[15,5]        1.018      1.234
U[16,5]        0.949      1.004
U[17,5]        1.039      1.353
U[18,5]        0.933      0.979
U[19,5]        1.084      1.530
U[20,5]        0.972      1.095
U[21,5]        1.245      2.262
U[22,5]        1.207      2.229
U[23,5]        1.505      3.543
U[24,5]        1.078      1.490
U[1,6]         1.182      2.321
U[2,6]         1.701      3.028
U[3,6]         1.149      1.692
U[4,6]         1.170      1.839
U[5,6]         0.949      1.067
U[6,6]         1.103      1.767
U[7,6]         1.594      6.751
U[8,6]         1.017      1.277
U[9,6]         0.997      1.203
U[10,6]        1.065      1.511
U[11,6]        1.009      1.158
U[12,6]        2.433      5.191
U[13,6]        2.450      5.972
U[14,6]        1.437      2.489
U[15,6]        1.385      2.412
U[16,6]        1.093      1.460
U[17,6]        1.226      2.312
U[18,6]        1.084      1.431
U[19,6]        1.121      1.676
U[20,6]        1.063      1.389
U[21,6]        1.358      2.256
U[22,6]        1.117      1.584
U[23,6]        1.002      1.231
U[24,6]        0.944      0.993
U[1,7]         1.274      3.948
U[2,7]         1.641      5.204
U[3,7]         1.177      1.820
U[4,7]         1.280      2.222
U[5,7]         1.091      1.497
U[6,7]         1.117      1.757
U[7,7]         1.163      1.873
U[8,7]         1.157      2.010
U[9,7]         1.342      2.290
